Vertices, Threads, Load data time, Calculation time, Total time

100, 0, 0.000665, 0.088692, 0.089357
100, 2, 0.000533, 0.327626, 0.328159
100, 4, 0.000508, 0.348454, 0.348962
100, 8, 0.000634, 0.262174, 0.262808
100, 16, 0.000433, 0.413621, 0.414054

100, 0, 0.000447, 0.074816, 0.075263
100, 2, 0.000441, 0.327488, 0.327929
100, 4, 0.000515, 0.309065, 0.309580
100, 8, 0.000422, 0.254506, 0.254928
100, 16, 0.000393, 0.296347, 0.296740

100, 0, 0.000415, 0.079251, 0.079666
100, 2, 0.000403, 0.886819, 0.887222
100, 4, 0.000543, 0.256693, 0.257236
100, 8, 0.000450, 0.225155, 0.225605
100, 16, 0.000439, 0.237864, 0.238303

100, 0, 0.000495, 0.071848, 0.072343
100, 2, 0.000384, 0.296890, 0.297274
100, 4, 0.000492, 0.246281, 0.246773
100, 8, 0.000379, 0.235112, 0.235491
100, 16, 0.000399, 0.240622, 0.241021
