Vertices, Processors, Threads, Load data time, Calculation time, Total time


100, 2, 0, 0.000490, 0.000679, 0.001169
100, 2, 2, 0.000737, 0.000596, 0.001333
100, 2, 4, 0.000512, 0.007665, 0.008178
100, 2, 8, 0.000881, 0.001078, 0.001959
100, 2, 16, 0.000519, 0.000547, 0.001066
100, 4, 0, 0.000535, 0.000412, 0.000946
100, 4, 2, 0.000583, 13.757752, 13.758335
100, 4, 4, 0.000565, 14.957117, 14.957681
100, 4, 8, 0.000770, 16.288678, 16.289448
100, 4, 16, 0.000629, 14.915353, 14.915982
100, 8, 0, 0.000589, 0.000300, 0.000889
100, 8, 2, 0.000869, 31.780499, 31.781368
100, 8, 4, 0.001047, 32.922204, 32.923250
100, 8, 8, 0.000917, 30.894795, 30.895712
100, 8, 16, 0.001159, 30.996197, 30.997356

100, 2, 0, 0.000581, 0.000615, 0.001197
100, 2, 2, 0.000645, 0.000711, 0.001356
100, 2, 4, 0.000597, 0.000555, 0.001152
100, 2, 8, 0.000591, 0.000649, 0.001240
100, 2, 16, 0.000514, 0.000724, 0.001237
100, 4, 0, 0.000762, 0.000453, 0.001215
100, 4, 2, 0.000535, 14.091664, 14.092199
100, 4, 4, 0.000702, 14.228207, 14.228910
100, 4, 8, 0.000683, 15.440059, 15.440742
100, 4, 16, 0.000622, 14.366200, 14.366823
100, 8, 0, 0.001183, 0.000533, 0.001716
100, 8, 2, 0.000862, 30.665759, 30.666621
100, 8, 4, 0.000797, 29.940811, 29.941608
100, 8, 8, 0.000878, 29.310757, 29.311635
100, 8, 16, 0.000812, 30.883204, 30.884016

100, 2, 0, 0.000539, 0.000554, 0.001093
100, 2, 2, 0.000555, 0.000498, 0.001054
100, 2, 4, 0.000547, 0.000661, 0.001208
100, 2, 8, 0.000499, 0.000515, 0.001014
100, 2, 16, 0.000532, 0.000560, 0.001092
100, 4, 0, 0.000549, 0.000454, 0.001003
100, 4, 2, 0.000535, 13.667086, 13.667621
100, 4, 4, 0.000522, 13.935360, 13.935882
100, 4, 8, 0.000542, 13.664625, 13.665167
100, 4, 16, 0.000484, 14.093207, 14.093691
100, 8, 0, 0.000912, 0.000435, 0.001347
100, 8, 2, 0.000843, 29.748434, 29.749277
100, 8, 4, 0.001002, 29.890203, 29.891205
100, 8, 8, 0.000947, 29.801649, 29.802596
100, 8, 16, 0.000725, 29.937318, 29.938043

100, 2, 0, 0.000442, 0.000532, 0.000974
100, 2, 2, 0.000500, 0.000654, 0.001154
100, 2, 4, 0.000693, 0.001098, 0.001791
100, 2, 8, 0.000457, 0.000488, 0.000945
100, 2, 16, 0.000436, 0.000564, 0.001000
100, 4, 0, 0.000503, 0.000385, 0.000889
100, 4, 2, 0.000572, 13.580226, 13.580798
100, 4, 4, 0.000516, 13.837582, 13.838099
100, 4, 8, 0.000576, 13.711398, 13.711973
100, 4, 16, 0.000569, 13.538504, 13.539072
100, 8, 0, 0.000552, 0.000563, 0.001115
100, 8, 2, 0.000811, 29.876439, 29.877250
100, 8, 4, 0.000708, 30.317243, 30.317952
100, 8, 8, 0.000816, 30.155673, 30.156489
100, 8, 16, 0.000826, 29.591051, 29.591877
